"Sample","MEyellow","MEturquoise","MEgreen","MEred","MEgreenyellow","MEpink","MEmagenta","MEblack","MEpurple","MEblue","MEbrown","MEgrey"
"1",0.0626968997055786,-0.12113534298894,-0.162620794608416,-0.190312831094354,0.0283021293136074,0.0869763736908838,-0.0112504234516228,0.117524419834324,0.0984532974910647,0.173056244503514,0.0788029730877449,0.0176657527321119
"2",-0.00549287529854003,0.163528713570884,-0.0404788714482623,0.00543286596138071,-0.000931371667714398,0.0656828212219414,-0.0567860609135316,-0.116750097348802,-0.0994047030329522,-0.147609077364071,-0.129059502127008,-0.023874967528784
"3",-0.0928606077596384,-0.0542260762264268,-0.204408984244281,-0.18930562789692,0.0884166743657551,0.0505670283580166,-0.0499806352490477,0.157313554450254,-0.083718592553881,0.192595955451505,0.0756314559016064,-0.0129535195520585
"4",-0.101051510243312,0.127169254786658,0.081977280498904,0.106493940992085,-0.0101082200321153,0.108197657703298,-0.0416044117102266,-0.032826620284589,0.00645755454337245,-0.120751375921752,-0.100081244822662,0.00399476937603283
"5",-0.205747685647379,-0.121400508066889,0.0727134699143361,-0.112120003735285,-0.0165812400598412,0.165021526184227,0.00426126072361803,-0.0214321907048749,0.185450545145098,0.128987660196483,0.204012005653011,-0.224184392730508
"6",0.0433099983173416,0.0104453733186824,0.349303036668116,0.191350282919725,-0.0581637264159258,-0.0503897230486285,-0.033472492255279,-0.0885180039713385,0.235580702692137,-0.116689787288684,0.00373987627021199,-0.032666576472553
"7",0.0895282642204671,-0.0966070871309574,-0.245063361561645,-0.204806051801218,0.0114876038930976,-0.115742324657602,-0.0616005297144139,0.164232370237734,0.0092548920655103,0.129951656866286,0.00772994036842632,0.101023363836556
"8",-0.0936816530607042,0.126213662312373,-0.0409280728669924,0.0753292244365616,-0.0344147021271675,-0.103773034682202,-0.0694787677952429,-0.0204149324456006,-0.191971777509735,-0.106257829225726,-0.151354347513195,0.0459041256317226
"9",0.015652953960483,-0.22111526039538,-0.188468170247775,0.130124851868937,-0.0516298373821244,-0.437697042524865,-0.00354017448593849,0.319007920109241,-0.0708521845408502,0.218446747361281,0.0266185682496333,0.304119995115135
"10",0.108771092484066,-0.0170173883180975,-0.0505835242075163,0.168105665397471,-0.0453154896979557,-0.311439819515885,-0.0662724123462901,0.106210938107683,-0.111847177678145,-0.0408271753546104,-0.153070730674175,0.196066328586445
