"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR132",2.33376161780094,-1.12991623705363,0.458436518134597,-2.46471690704598,0.0137121540747362,0.0245726171426945
"MRPS34",4207.41232560483,0.851038104128554,0.110338666056022,7.7129635018105,1.22929252272185e-14,1.71600758292503e-13
"THOC7",3303.63373313,0.011865845757579,0.0621312578780308,0.190980291769928,0.84854103384883,0.881961541857562
"BREA2",51.9731927068172,-0.0281433679277096,0.136814868130313,-0.205704016765953,0.837022120736834,0.873303270269959
"PLAC4",230.779474934187,0.835901197470496,0.276110754683945,3.02741267151047,0.00246656972278714,0.0051984420823547
"FITM1",42.0416619154509,-0.42555509676831,0.155459184253331,-2.73740724172873,0.00619255809811768,0.0119671155684552
"C7orf61",24.6985361462383,-0.137031417091904,0.183396420891363,-0.74718697576479,0.454950704762036,0.533309620379242
"MYL10",5.52719145324704,0.459072052431607,0.337864123735112,1.35874755613746,0.174226596861031,0.234429339032382
"RAB3IP",5411.06643146253,0.570347825206804,0.205206568055039,2.7793838696909,0.005446212320944,0.0106676679688172
"DNAH12",1099.89276599693,-1.77277234016394,0.303578321494315,-5.83958805568776,5.23300524731013e-09,3.06485125031262e-08
"TMEM56-RWDD3",90.74917601997,-0.0647369038398671,0.10433509441487,-0.620471033288688,0.534947719020602,0.610309016295778
"PCBD1",4922.62089921349,0.526965732476709,0.11768109467123,4.47791324467972,7.53762197145195e-06,2.55902392358536e-05
"ACOT6",19.4747508572847,0.0553817788504149,0.225271515195785,0.245844570283474,0.805802553529987,0.847770127657387
"NME4",5129.15200550909,1.08004079527037,0.136883041632986,7.89024544155148,3.01592796780067e-15,4.56584876561357e-14
"EIF4E2",3496.6968539618,0.325035645820016,0.0657575364586502,4.94294134672161,7.69526408948814e-07,3.12707971161071e-06
"CD109",6209.11414032312,-1.03755627375669,0.225999463815659,-4.59096785558302,4.41195289202709e-06,1.56835859654935e-05
"CT45A1",1.57411820282807,-2.06966661205811,1.28504329336755,-1.61058123313059,0.10727102692257,0.153284352696064
"CT45A3",2.21927470238847,-1.20439599857774,1.09645160204267,-1.09844884747669,0.272008542443038,0.344624743840105
"CT45A6",3.25851792860211,-2.05303626071043,0.688689746376273,-2.98107568976166,0.0028723778935802,0.00597224457565042
"C21orf91",3945.73844791608,-0.542140925816441,0.122150953264611,-4.43828649164958,9.06778718656599e-06,3.03112393983453e-05
"CENPM",296.893728377646,1.20898346592887,0.232129116330762,5.2082370580612,1.90643264919044e-07,8.64041720829909e-07
"RAB3C",33.3022850771882,0.360943931684226,0.303869109040149,1.18782699835585,0.234901575328608,0.303752813277094
"PPARA",4464.53506038679,0.0968198344398042,0.0932398696878301,1.03839521402121,0.299086096813118,0.373806834553525
"PTAR1",8719.6222445081,-0.0935362925816915,0.0801275677874943,-1.16734221647359,0.243072196345127,0.312918929353286
"IZUMO4",144.22020173205,0.472022940814167,0.138076921304577,3.41855059016672,0.000629556132582883,0.0014981008323078
"LOC100505875",78.2723911045363,-0.972084748006225,0.325363217599038,-2.98769097250623,0.00281093618181602,0.00585411660213377
"HRSP12",1415.24766884876,0.63911117061188,0.137977318075401,4.63200169076068,3.62147195576838e-06,1.30663482810531e-05
"XRN1",9062.88552411112,-0.320345259789954,0.121022498660493,-2.64698930641504,0.00812119210584767,0.0152983759343381
"MGAT3",5013.69169876413,-2.07300298053281,0.201385637124059,-10.2936982504655,7.52302027042717e-25,3.46076030212992e-23
"LOC100128993",10.1671527411606,-0.77994366172173,0.30627343995288,-2.54655990360027,0.0108790537709538,0.0199080487639342
"LRP6",9293.7881820327,-0.0357643014443387,0.111681676826991,-0.320234280684574,0.74879073814982,0.799972201567112
"ADCY6",7280.23294940001,-0.172456536734269,0.0815285774277328,-2.11528941354503,0.0344052881973691,0.0560525948489172
"NFIA",6560.26811858944,-0.331702503483396,0.0980587620348926,-3.38269111907985,0.000717793140628108,0.0016890084816849
"OR52B6",6.14376018783061,0.232318743373414,0.287570819873205,0.807866192668116,0.419167614968439,0.498611406592393
"DNAJC17",1161.54983506162,0.174977182978617,0.0861513819883288,2.03104325131223,0.0422506073116865,0.0673169507710837
"INE1",123.587638087894,0.136216040048553,0.125558972182139,1.08487699191225,0.277976139589504,0.351064768292952
"ALG10B",2454.59634969359,-0.0663329210089645,0.0867872037024014,-0.764316836804929,0.444678454270528,0.523420364787727
"TACC2",11300.4100875146,-0.214618070945154,0.148088110847652,-1.44925929378589,0.147265184336193,0.202527150166387
"CAPNS2",29.2664029027608,0.572116163785488,0.332820299675842,1.71899419699674,0.0856154285811155,0.125693906572159
"EIF1B",3836.70546445383,-0.32718398766792,0.0767921374260798,-4.26064436587492,2.03838364524494e-05,6.4056704492164e-05
"NRADDP",20.3102494092803,-0.859232600716913,0.197907340346512,-4.34159035846018,1.41455082162867e-05,4.56503877241485e-05
"DLGAP2",39.1077841949425,-0.996346804714635,0.221039619096985,-4.50754850548974,6.55809414123373e-06,2.250252305691e-05
"LOC441601",28.9861759358311,-0.465423958399103,0.156528548034628,-2.97341260902861,0.00294508258345895,0.00610397466432446
"NME3",3141.78491623951,0.552546461651963,0.130532898861944,4.2330053685267,2.30588998477918e-05,7.17171468683396e-05
"PPP1R1C",209.815350349962,1.60820599644598,0.310207881885218,5.18428476630725,2.16845400891985e-07,9.71484674514091e-07
"RTP4",855.249596070305,-0.212711987502492,0.167427799799837,-1.27046994439868,0.203917282296715,0.268959352306759
"LOC100170939",326.598388554003,-0.592056900634302,0.137535631077157,-4.30475285565936,1.67172256074648e-05,5.3337541538571e-05
"TMEM14A",2154.17982748036,0.415374006887492,0.0911831039871864,4.55538349457661,5.22900914659283e-06,1.83273375127594e-05
"ZNF292",6870.27223279267,0.166204630067791,0.113914021819442,1.45903574830526,0.144555268780328,0.199355671825483
"C1orf50",744.32836217694,0.19377354800623,0.0571414323141873,3.39112164603754,0.000696071982964182,0.00164152312794804
"ARHGAP11B",85.0047545438725,0.870186809973552,0.218616552823639,3.98042508096605,6.87921435177245e-05,0.000196281615018644
"MRPL12",3021.14884094857,0.920620584095559,0.137550094440491,6.69298402040612,2.18665025802941e-11,1.90693614273043e-10
