"module","cor_condition","pvalue","padj","significant"
"blue",0.934384684478962,5.78645830518842e-25,6.9437499662261e-24,TRUE
"turquoise",-0.869411083327809,1.50644595025927e-17,9.03867570155565e-17,TRUE
"brown",0.744792692599686,1.06692792378908e-10,4.26771169515632e-10,TRUE
"red",-0.581641389220551,3.9784976312941e-06,1.13867557896928e-05,TRUE
"black",0.577893008841819,4.74448157903865e-06,1.13867557896928e-05,TRUE
"purple",0.558214822351091,1.15494580715358e-05,2.30989161430716e-05,TRUE
"yellow",-0.512166013430106,7.52993727331011e-05,0.000129084638971031,TRUE
"green",-0.416633917903125,0.00172549216083702,0.00258823824125553,FALSE
"magenta",0.30978171201856,0.0226344575689342,0.0301792767585789,FALSE
"greenyellow",0.201499688067688,0.143987694618414,0.172785233542097,FALSE
"pink",0.0351610498788404,0.800722536568798,0.873515494438689,FALSE
"grey",-0.0162882857804016,0.906938536476494,0.906938536476494,FALSE
