"gene","module"
"RSPH1","yellow"
"ACHE","blue"
"AATK","turquoise"
"RGS17","brown"
"PRELP","turquoise"
"BUB1","brown"
"KLF2","turquoise"
"LRRC10B","yellow"
"C9orf171","yellow"
"PDE5A","turquoise"
"C9orf140","brown"
"FRMD3","turquoise"
"C6orf174","turquoise"
"AGR3","blue"
"SCUBE3","brown"
"LEPREL1","grey"
"ADAM28","brown"
"SH2D1B","turquoise"
"PAX8","greenyellow"
"DLC1","turquoise"
"RBP4","turquoise"
"TPSB2","turquoise"
"ATP1A2","turquoise"
"ADRA1A","turquoise"
"VGLL3","turquoise"
"LY6K","brown"
"PLEKHN1","blue"
"PCDH20","grey"
"DGCR5","blue"
"ANKUB1","yellow"
"ZIC2","brown"
"PKNOX2","turquoise"
"SPAG4","brown"
"CCNO","brown"
"CCDC78","yellow"
"BMP8A","brown"
"ASPG","turquoise"
"EYA1","yellow"
"AFAP1L1","turquoise"
"FUT9","brown"
"CLEC4E","turquoise"
"HIGD1B","turquoise"
"CNN1","turquoise"
"AFF3","turquoise"
"PEAR1","turquoise"
"MYADM","turquoise"
"QPCT","brown"
"SERPINA3","red"
"C10orf10","turquoise"
"LRAT","black"
"RAMP1","blue"
"SCEL","turquoise"
"CHGA","grey"
"UPK3A","blue"
"OGDHL","brown"
"SRPX","turquoise"
"WNK2","brown"
"CES1","turquoise"
"RHBDL1","blue"
"DPP4","blue"
"C19orf77","magenta"
"TMEM139","turquoise"
"CCDC33","yellow"
"ALDH3B2","brown"
"NT5E","blue"
"SOX14","blue"
"PDE3A","turquoise"
"CCL22","black"
"BMPR1B","turquoise"
"SDS","brown"
"SLITRK2","turquoise"
"STYK1","blue"
"CLEC1A","turquoise"
"S1PR5","turquoise"
"PRSS12","turquoise"
"TMEM132C","turquoise"
"FAM166B","yellow"
"CLDN4","blue"
"B3GALT5","magenta"
"UCA1","brown"
"SYN2","turquoise"
"WNT10A","brown"
"LRRIQ1","yellow"
"RMI2","brown"
"NRG3","turquoise"
"DPT","turquoise"
"C9orf125","turquoise"
"FAM111B","brown"
"TPSAB1","turquoise"
"PCDH8","grey"
"IL31RA","brown"
"ALB","blue"
"TTC29","yellow"
"GPR128","grey"
"FAM84A","grey"
"VNN1","green"
"GBP5","green"
"PLAC2","turquoise"
"ELN","turquoise"
"VWDE","brown"
"TCEAL2","turquoise"
"TEKT2","yellow"
"SLC26A9","red"
"SPAG5","brown"
"ADCY4","turquoise"
"FGD5","turquoise"
"NEGR1","turquoise"
"CCDC42B","yellow"
"GFRA1","turquoise"
"ESM1","turquoise"
"RADIL","turquoise"
"ANPEP","grey"
"HOXB7","brown"
"PDE1C","turquoise"
"PLAC9","turquoise"
"UGT2B4","grey"
"APOLD1","turquoise"
"DDX43","grey"
"C14orf132","turquoise"
"DYDC2","yellow"
"ODZ4","brown"
"SOX2","grey"
"DUOXA1","turquoise"
"GSTM5","turquoise"
"EMP2","turquoise"
"CTGF","turquoise"
"CDCA5","brown"
"PTPRN2","grey"
"FUT6","blue"
"GPR172B","blue"
"COL9A2","blue"
"PI15","pink"
"GHR","turquoise"
"C5orf49","yellow"
"ESPN","brown"
"ECSCR","turquoise"
"ELOVL6","brown"
"GRB14","blue"
"BMP5","turquoise"
"LAPTM4B","blue"
"C6orf103","yellow"
"PCDH9","turquoise"
"SORCS2","red"
"LOC100287718","yellow"
"IRX3","black"
"FZD4","turquoise"
"WFDC3","blue"
"TDRD9","grey"
"FOXJ1","blue"
"HCAR2","turquoise"
"TBX15","brown"
"NRN1","turquoise"
"GLP1R","grey"
"MUC1","blue"
"ODZ2","turquoise"
"SLC28A2","brown"
"MDGA1","turquoise"
"BNIPL","grey"
"F8","turquoise"
"MORN5","yellow"
"C6orf97","yellow"
"SLC22A18AS","blue"
"OLFML1","turquoise"
"CXCR2P1","green"
"GBP1","green"
"EPHX3","blue"
"IL22RA2","blue"
"NOVA2","turquoise"
"ALG1L","blue"
"RGS22","yellow"
"DIO1","blue"
"ARHGEF19","blue"
"FOXD1","brown"
"GZMB","turquoise"
"IER3","blue"
"F13A1","green"
"HMOX1","red"
"CD300E","turquoise"
"CD109","turquoise"
"FCER1A","turquoise"
"STEAP1","brown"
"TTK","brown"
"FZD9","blue"
"NEB","pink"
"FAM179A","yellow"
"OTOR","greenyellow"
"IGFL2","brown"
"GABRB2","turquoise"
"PHEX","turquoise"
"GIMAP7","turquoise"
"TUBA4B","yellow"
"PTPN5","turquoise"
"AZU1","black"
"KIF18B","brown"
"IGF2","greenyellow"
"HPSE2","turquoise"
"FAM150B","turquoise"
"RYR2","turquoise"
"LGR5","grey"
"MFAP2","brown"
"PLAU","brown"
"KIAA0125","purple"
"HMMR","brown"
"TUBB1","turquoise"
"AMBP","black"
"NETO1","brown"
"ACE","turquoise"
"PNMAL1","blue"
"PLK1","brown"
"CHST4","magenta"
"PALMD","turquoise"
"KLB","turquoise"
"SGCD","turquoise"
"KDR","turquoise"
"ABCA6","turquoise"
"BAI3","turquoise"
"DEPDC1","brown"
"LOC158376","turquoise"
"SEMA3D","turquoise"
"DDR2","turquoise"
"FLNC","turquoise"
"IGFALS","grey"
"CCNB2","brown"
"TGM2","turquoise"
"TMEM45B","blue"
"MYRIP","turquoise"
"FCRL2","purple"
"ACTG2","turquoise"
"TMEM92","blue"
"ERG","turquoise"
"MFSD6L","brown"
"FBLN2","pink"
"PRKG1","turquoise"
"VSIG4","red"
"LOC643988","black"
"SHANK3","turquoise"
"CTSG","red"
"RBP2","turquoise"
"COL12A1","turquoise"
"PGLYRP4","brown"
"PHACTR3","grey"
"SFTA2","black"
"BMP3","black"
"PLA2G7","purple"
"MYBPHL","black"
"C1orf168","yellow"
"NOSTRIN","turquoise"
"GPR133","turquoise"
"PAX5","purple"
"AGTR1","turquoise"
"ROS1","red"
"CPNE5","purple"
"PTN","turquoise"
"RGS9","turquoise"
"LOC401022","black"
"WISP1","brown"
"DNAH2","yellow"
"FGFBP1","brown"
"BAMBI","blue"
"LOC642587","brown"
"SPTSSB","brown"
"ITLN1","turquoise"
"P2RY6","brown"
"SYT15","turquoise"
"FAM83B","brown"
"CD1E","red"
"LOC729966","blue"
"SPIB","purple"
"SLC44A4","blue"
"MUC15","grey"
"CDH11","pink"
"RPTN","greenyellow"
"C12orf36","magenta"
"GINS1","brown"
"MFAP5","turquoise"
"ARNTL2","brown"
"CADM3","turquoise"
"MAPT","red"
"SPRR2D","brown"
"C20orf151","blue"
"FAM162B","turquoise"
"IL5RA","yellow"
"LOC100506385","blue"
"GRHL3","blue"
"CD27","purple"
"PANX2","blue"
"LPCAT1","black"
"PLEKHA6","blue"
"RIMS4","turquoise"
"THBS1","grey"
"C7orf58","turquoise"
"CACNG6","yellow"
"SIM2","greenyellow"
"OLR1","red"
"PKP2","brown"
"VCAN","pink"
"SLC35F3","black"
"ELANE","grey"
"CLIC3","turquoise"
"HAPLN1","turquoise"
"SMAD9","turquoise"
"BMP7","brown"
"EGR2","turquoise"
"CYP2A6","turquoise"
"ROPN1L","yellow"
"BCL6B","turquoise"
"CCDC37","yellow"
"NHS","blue"
"DEGS2","blue"
"ABCB1","turquoise"
"KCNQ5","brown"
"ST6GALNAC3","turquoise"
"CITED1","greenyellow"
"SP6","grey"
"TMSB15A","turquoise"
"KIFC1","brown"
"EMR3","turquoise"
"BMP2","turquoise"
"RHOJ","turquoise"
"SLC15A1","brown"
"MSR1","red"
"ORM1","grey"
"GABRA3","brown"
"CWH43","yellow"
"COL1A2","pink"
"FGFR3","blue"
"SPTB","blue"
"APOBEC4","yellow"
"SDHAP3","black"
"ANGPTL7","turquoise"
"NDNF","turquoise"
"CASC5","brown"
"PLAC8","turquoise"
"NLGN4X","turquoise"
"MCM10","brown"
"CALML5","brown"
"C6orf155","turquoise"
"DNAH5","yellow"
"CT45A5","greenyellow"
"PCDH7","pink"
"CXorf36","turquoise"
"CYR61","turquoise"
"LRIG3","blue"
"HJURP","brown"
"HSD17B13","yellow"
"LIFR","turquoise"
"STEAP4","red"
"SDCBP2","magenta"
"NUSAP1","brown"
"F2RL1","blue"
"GSDMC","brown"
"CPXM2","pink"
"STK31","blue"
"MMP15","blue"
"C4B","blue"
"RECK","turquoise"
"TNFRSF21","brown"
"HPN","blue"
"RGS1","green"
"DNAJC22","blue"
"SRCRB4D","brown"
"SLC22A3","red"
"CHST1","turquoise"
"AFF2","turquoise"
"PENK","turquoise"
"IL13RA2","blue"
"GADD45B","turquoise"
"STAC","red"
"PDGFB","turquoise"
"GVINP1","green"
"KHDRBS2","turquoise"
"UBXN10","yellow"
"KCNE1","yellow"
"JPH2","turquoise"
"DNAH6","yellow"
"ITGB4","brown"
"AVIL","grey"
"ADAMTS12","pink"
"COX4I2","turquoise"
"CRYAB","turquoise"
"RAC3","brown"
"PLCB4","turquoise"
"FAT4","turquoise"
"ENPP2","turquoise"
"PDE2A","turquoise"
"PLA1A","turquoise"
"TMEM132A","brown"
"SOX18","turquoise"
"FAM155B","blue"
"HEY1","turquoise"
"CDC20B","grey"
"SPARCL1","turquoise"
"CCDC135","yellow"
"LOC389493","blue"
"WFDC1","turquoise"
"RELN","turquoise"
"FAM13C","turquoise"
"CADM2","turquoise"
"EDN2","brown"
"FAIM2","greenyellow"
"PECAM1","turquoise"
"ANGPTL4","grey"
"PRSS22","blue"
"HLA-G","red"
"CMKLR1","green"
"SLC4A11","brown"
"UBE2T","brown"
"EPHA3","pink"
"IL18R1","turquoise"
"ERV3-1","brown"
"ADH1A","turquoise"
"GIMAP1-GIMAP5","turquoise"
"ZFP57","grey"
"MFSD4","blue"
"NOS2","turquoise"
"SULT1C4","turquoise"
"ERBB4","turquoise"
"LRRC71","yellow"
"LPPR1","black"
"FAM134B","turquoise"
"IFI6","brown"
"HRCT1","turquoise"
"FEZ1","turquoise"
"CACNA1D","turquoise"
"IP6K3","grey"
"C2orf54","grey"
"LTBP2","turquoise"
"OLFML2A","turquoise"
"SLC7A10","blue"
"ABLIM3","turquoise"
"AHNAK","turquoise"
"PTPRR","turquoise"
"PRH2","grey"
"TREM1","turquoise"
"TMEM47","turquoise"
"EXO1","brown"
"VNN2","turquoise"
"NRGN","turquoise"
"FAM26F","green"
"SEMA4B","brown"
"HHIPL2","brown"
"LYZ","red"
"LAMB3","brown"
"DNAH7","yellow"
"PZP","yellow"
"FHL2","brown"
"FADS6","blue"
"POU6F2","grey"
"EPHB2","brown"
"CSPG5","blue"
"REEP6","blue"
"CDH19","turquoise"
"LAMA2","turquoise"
"CACNA1C","turquoise"
"C19orf21","grey"
"PRUNE2","turquoise"
"TLR8","green"
"SHE","turquoise"
"LOC220594","grey"
"LOC728192","blue"
"LHX6","turquoise"
"ESPL1","brown"
"PER1","turquoise"
"RNASE1","black"
"KLHDC7A","blue"
"DST","turquoise"
"KISS1R","brown"
"NEK2","brown"
"PCDHGB7","turquoise"
"HOXD10","brown"
"RHPN1","blue"
"KIF19","yellow"
"LUZP2","grey"
"RGS6","turquoise"
"E2F8","brown"
"GPR17","turquoise"
"C8orf47","grey"
"PTTG1","brown"
"ALDOB","magenta"
"DUSP1","turquoise"
"ATP6V0D2","grey"
"C6orf165","yellow"
"CPZ","pink"
"MYH10","turquoise"
"RAB27B","blue"
"ABCG2","turquoise"
"CD69","turquoise"
"WASF3","turquoise"
"MYCN","brown"
"FAM81B","yellow"
"FBLN5","turquoise"
"PKMYT1","brown"
"EFNA3","blue"
"FILIP1","turquoise"
"CFP","red"
"VEPH1","turquoise"
"LRRN1","pink"
"HOXC6","brown"
"ADCYAP1","grey"
"CNTFR","turquoise"
"C11orf96","turquoise"
"ENTPD3","black"
"PTRF","turquoise"
"SRCIN1","brown"
"C14orf105","blue"
"GTSE1","brown"
"ENPEP","turquoise"
"FOXA1","brown"
"FKBP5","turquoise"
"SEC14L4","turquoise"
"SDK2","purple"
"PHLDB2","turquoise"
"RS1","turquoise"
"DLX6","greenyellow"
"WDR62","brown"
"NCAPH","brown"
"SAMD5","turquoise"
"MACC1","blue"
"ID4","turquoise"
"ECM2","turquoise"
"F12","blue"
"FSTL4","grey"
"PKDCC","turquoise"
"IGFBP1","magenta"
"SLC10A4","grey"
"OVOL1","blue"
"LAMA4","turquoise"
"SRRM3","blue"
"UNC5C","turquoise"
"RMRP","blue"
"PAQR5","turquoise"
"TMEM232","yellow"
"THY1","brown"
"CTCFL","greenyellow"
"NPAS2","brown"
"SLITRK6","turquoise"
"AKR1C3","grey"
"ADCYAP1R1","turquoise"
"CD163","green"
"DNAH11","grey"
"CYP3A7","turquoise"
"LOC389023","blue"
"GIMAP1","turquoise"
"ITGBL1","turquoise"
"FLT4","turquoise"
"FGL1","brown"
"LILRA3","turquoise"
"CA8","grey"
"ZWINT","brown"
"AQP9","turquoise"
"KIF11","brown"
"LHFPL3","turquoise"
"GINS2","brown"
"GGT3P","grey"
"ZNF366","turquoise"
"PADI4","turquoise"
"LILRB4","green"
"C2CD4B","turquoise"
"CHRNA1","brown"
"CYP27C1","blue"
"PBK","brown"
"NEXN","turquoise"
"MT1G","grey"
"ACSM3","black"
"MYH1","turquoise"
"ANXA8L1","turquoise"
"TLR4","green"
"SPINK13","blue"
"KIAA0754","turquoise"
"TBX18","grey"
"PTPRD","turquoise"
"KLF6","turquoise"
"DBNDD1","blue"
"SYTL5","yellow"
"LSAMP","turquoise"
"AMN","blue"
"EGFL7","turquoise"
"CNTN1","turquoise"
"FAP","brown"
"EDAR","greenyellow"
"SDR16C5","grey"
"ITM2A","turquoise"
"APOC2","red"
"EDIL3","turquoise"
"LRRN4","turquoise"
"CD5L","turquoise"
"LOC646576","turquoise"
"LOC284454","turquoise"
"PLN","turquoise"
"GRIK5","brown"
"KLRF1","turquoise"
"CTSH","black"
"ASCL1","brown"
"SIGLEC14","turquoise"
"C20orf26","yellow"
"LOC100505633","magenta"
"CHRM2","turquoise"
"KIT","turquoise"
"IL1B","turquoise"
"NTRK3","turquoise"
"DENND2A","turquoise"
"CEACAM1","blue"
"CAMK2B","blue"
"CMBL","blue"
"RUNX1T1","turquoise"
"ANO2","turquoise"
"BEX1","turquoise"
"SHC3","turquoise"
"KRT6B","brown"
"ALPK3","grey"
"MSRB3","turquoise"
"HMGA1","brown"
"CCDC60","yellow"
"PDE10A","turquoise"
"DOCK4","turquoise"
"LIF","brown"
"TMEM130","pink"
"MN1","pink"
"C11orf16","yellow"
"LOC100507421","turquoise"
"C10orf92","yellow"
"ASB4","magenta"
"ADAM33","turquoise"
"CD101","turquoise"
"SIX4","brown"
"C6orf168","blue"
"SLC16A7","blue"
"WWC2","turquoise"
"FKBP11","purple"
"LTB","purple"
"MYBPC2","purple"
"PRSS3","magenta"
"PGR","turquoise"
"RNF128","grey"
"CHP2","yellow"
"FGF19","blue"
"LRRTM1","greenyellow"
"COL11A2","grey"
"CCDC144B","turquoise"
"NPY1R","turquoise"
"GSDMB","blue"
"HOXB3","brown"
"GBP3","grey"
"PIR-FIGF","turquoise"
"CCL28","blue"
"OMD","turquoise"
"TMEM119","pink"
"FABP5","turquoise"
"SPOCK1","pink"
"UMODL1","blue"
"PFKP","brown"
"NUF2","brown"
"GPR158","grey"
"BRDT","blue"
"HOXB2","brown"
"HSD11B2","blue"
"ISX","brown"
"PCDHB5","grey"
"CNGA1","blue"
"CACNA1H","turquoise"
"CDKL2","black"
"NME1","blue"
"AK7","yellow"
"HLA-DQB1","grey"
"PACRG","yellow"
"MOXD1","pink"
"CCBP2","brown"
"NXPH4","brown"
"INHBA","turquoise"
"ESAM","turquoise"
"GRHL1","brown"
"MT1X","grey"
"ANKRD56","blue"
"T","blue"
"GIPC2","turquoise"
"ARHGEF10","turquoise"
"AURKB","brown"
"CCL3","red"
"VSTM2B","grey"
"MST1P2","black"
"PTK6","blue"
"WDR87","brown"
"KRT8","blue"
"PSAPL1","grey"
"GAS1","turquoise"
"SLC17A9","purple"
"LIPG","brown"
"KCNMA1","green"
"PLA2G10","blue"
"DLEC1","yellow"
"RAB3B","brown"
"HGF","turquoise"
"COL7A1","brown"
"MS4A7","red"
"NMUR1","turquoise"
"BOC","turquoise"
"CD38","green"
"SLC47A1","grey"
"HOXD11","brown"
"CCL8","green"
"MAOA","turquoise"
"C1orf51","blue"
"ZNF423","turquoise"
"ICAM4","grey"
"CDH23","turquoise"
"PDGFRA","turquoise"
"GLYATL2","brown"
"AGAP11","turquoise"
"LAMC2","magenta"
"BHMT2","brown"
"HOXA5","turquoise"
"LPPR3","yellow"
"STX1A","brown"
"PPP4R4","turquoise"
"WDR63","yellow"
"KIAA0101","brown"
"GGT6","blue"
"STARD13","turquoise"
"THSD7B","grey"
"C1orf158","yellow"
"ABCA10","turquoise"
"ANXA3","turquoise"
"RAPGEF4","turquoise"
"GPR35","magenta"
"NRK","brown"
"LEFTY2","turquoise"
"C19orf51","yellow"
"STAC2","blue"
"C11orf92","yellow"
"LMO2","turquoise"
"CKAP2L","brown"
"C8orf85","grey"
"MX2","brown"
"CCNE1","brown"
"HIST1H1C","blue"
"ZDHHC9","blue"
"SCNN1G","turquoise"
"SULT1E1","grey"
"SULT2B1","turquoise"
"C1orf88","yellow"
"CHST6","brown"
"KRT24","blue"
"SGK2","blue"
"ALDH1L1","grey"
"NCRNA00312","turquoise"
"PDZK1IP1","blue"
"LOC255480","turquoise"
"C8orf4","turquoise"
"DYSF","turquoise"
"PLOD2","brown"
"OSM","grey"
"DKFZp686D0853","grey"
"MYBPH","blue"
"PIP5K1B","turquoise"
"MMP2","pink"
"TFAP2B","grey"
"COL13A1","turquoise"
"CYP1B1","brown"
"CHAT","brown"
"NCCRP1","brown"
"DEPTOR","blue"
"EYA2","brown"
"FOLH1","grey"
"ACOXL","turquoise"
"LHX9","blue"
"F3","turquoise"
"TRIM2","blue"
"PNMA3","brown"
"ARHGEF16","blue"
"EFNA4","blue"
"ITGA10","turquoise"
"SIGLEC1","green"
"CDH6","turquoise"
"GPR160","blue"
"KCNJ1","grey"
"EMX2","greenyellow"
"CCDC114","yellow"
"CSF3R","red"
"OXTR","yellow"
"CD274","turquoise"
"KLHDC8A","blue"
"PGM5","turquoise"
"SPON1","turquoise"
"MT1A","turquoise"
"GLS2","black"
"CCDC11","yellow"
"ACAN","grey"
"TTLL10","yellow"
"CDH16","grey"
"HOXD9","grey"
"TLCD1","blue"
"OASL","turquoise"
"EML1","turquoise"
"MAFF","turquoise"
"CKMT1A","blue"
"FAM124B","turquoise"
"METTL1","blue"
"TMOD1","turquoise"
"CCL4","turquoise"
"BLK","purple"
"PCDH10","turquoise"
"SCN2B","turquoise"
"LDLR","turquoise"
"CCL23","turquoise"
"FRAS1","turquoise"
"ENHO","turquoise"
"TCF24","greenyellow"
"EPPK1","brown"
"CD1C","red"
"TBC1D30","blue"
"IFITM10","blue"
"GPR4","turquoise"
"TXNDC17","blue"
"CDHR5","magenta"
"DCHS1","turquoise"
"GRIN2A","grey"
"LGALS9C","magenta"
"ADM","grey"
"AK1","grey"
"KCNJ16","yellow"
"C20orf54","blue"
"GPAT2","grey"
"PI3","grey"
"TMEM151A","magenta"
"FKBP10","pink"
"DYNLRB2","yellow"
"KCTD16","turquoise"
"LOC401233","grey"
"WDR78","yellow"
"HOPX","red"
"ITGA1","turquoise"
"ST14","blue"
"GLT1D1","turquoise"
"EPB41L2","turquoise"
"KDELR3","blue"
"FAM184A","turquoise"
"CNTNAP3B","turquoise"
"IL20RA","turquoise"
"GUCY1A2","turquoise"
"TNFRSF18","blue"
"PLAT","grey"
"SSC5D","pink"
"PRDM16","grey"
"TDRD5","brown"
"S100A12","turquoise"
"CDCA8","brown"
"SPEF1","yellow"
"NEK10","yellow"
"C12orf56","brown"
"PTPRM","turquoise"
"DCN","turquoise"
"WDR65","yellow"
"JUNB","turquoise"
"CASKIN1","blue"
"NIM1","turquoise"
"C20orf103","blue"
"CCNB1","brown"
"C15orf59","grey"
"EPCAM","blue"
"GPC5","turquoise"
"TGFA","brown"
"SLC22A18","blue"
"NPNT","turquoise"
"LYPD6B","magenta"
"RTN1","turquoise"
"LGR6","grey"
"PIM2","purple"
"CCDC81","yellow"
"TMEM163","black"
"S100A14","blue"
"PIP","yellow"
"APLP1","grey"
"CORO2B","turquoise"
"SULT1A1","grey"
"C3orf15","yellow"
"IGF2BP2","grey"
"VNN3","yellow"
"CCDC19","yellow"
"GPR56","brown"
"TMEM156","brown"
"MDH1B","yellow"
"CDT1","brown"
"IFI27","turquoise"
"FLJ23152","yellow"
"LOC100131176","yellow"
"KLRG2","turquoise"
"KIAA1211","pink"
"GNAZ","turquoise"
"ZNF323","grey"
"RERGL","turquoise"
"INS-IGF2","greenyellow"
"GREB1","blue"
"DOK6","turquoise"
"SFTA3","black"
"GRAMD1B","magenta"
"GRRP1","turquoise"
"DDIT4L","brown"
"TGM1","turquoise"
"PRR15L","blue"
"LIMCH1","turquoise"
"DSG2","brown"
"WNT2","turquoise"
"TRPC6","turquoise"
"INHBB","blue"
"MEOX2","turquoise"
"ORM2","grey"
"AIM1L","grey"
"KCNA5","turquoise"
"MARCKSL1","brown"
"CCDC65","yellow"
"TPBG","brown"
"CLEC12A","red"
"CSPG4","turquoise"
"HDC","turquoise"
"IQSEC3","turquoise"
"GPR146","turquoise"
"UGT3A2","grey"
"ASPA","turquoise"
"FNDC4","blue"
"MCAM","turquoise"
"BHLHA15","purple"
"TMEM155","grey"
"BCMO1","blue"
"MAPK15","yellow"
"CCDC80","pink"
"CXCR5","purple"
"DPEP1","purple"
"VGLL1","brown"
"ADAM8","blue"
"ELF3","blue"
"GGCT","blue"
"CD180","purple"
"KRT19","brown"
"REEP1","turquoise"
"LOC286189","turquoise"
"MFI2","blue"
"APOL3","turquoise"
"PREX1","green"
"LHX1","greenyellow"
"LIN7A","turquoise"
"CABYR","brown"
"RSAD2","turquoise"
"LILRA1","turquoise"
"SIGLEC6","turquoise"
"GALE","blue"
"CAMP","turquoise"
"NAV3","turquoise"
"HOXA4","turquoise"
"PCDHGA2","turquoise"
"MANEAL","blue"
"SLC25A21","brown"
"FGB","brown"
"CXorf41","yellow"
"RGS5","turquoise"
"HOXC12","brown"
"GAD1","blue"
"ATP6V1B1","greenyellow"
"C20orf46","turquoise"
"PTGES","blue"
"FN1","pink"
"SRPX2","brown"
"FOXP3","purple"
"FOXA2","grey"
"LMCD1","turquoise"
"DLX5","greenyellow"
"FCGR3A","red"
"IBSP","brown"
"AEBP1","pink"
"PRSS8","blue"
"MGC39372","grey"
"CYP4F3","turquoise"
"TRIM31","magenta"
"UCHL1","brown"
"PPP1R16B","green"
"C16orf59","brown"
"LOC728264","turquoise"
"LRG1","black"
"MFAP3L","turquoise"
"LOC170425","brown"
"RANBP3L","turquoise"
"LRRC55","blue"
"ITGA2","brown"
"ANO1","turquoise"
"C5AR1","red"
"CD163L1","green"
"PCK1","greenyellow"
"CTNNAL1","turquoise"
"SPATA18","yellow"
"ODZ3","pink"
"GIMAP4","turquoise"
"LOC283070","black"
"FAM150A","blue"
"PRND","grey"
"UGT1A10","blue"
"CXCL17","black"
"RECQL4","brown"
"UACA","turquoise"
"GRAMD2","turquoise"
"TMEM105","blue"
"PCDHGB1","grey"
"TOX2","turquoise"
"PRC1","brown"
"SLC25A10","blue"
"DAPK2","turquoise"
"ALS2CR11","blue"
"KIAA1683","turquoise"
"ZEB2","turquoise"
"CPM","grey"
"PNOC","purple"
"ADAMTSL4","red"
"KLF15","turquoise"
"NCAPG","brown"
"CYP2C9","magenta"
"GPRIN1","brown"
"DIRAS1","blue"
"RP1","yellow"
"LOC100505989","blue"
"CASKIN2","turquoise"
"GREM2","turquoise"
"TKTL1","turquoise"
"LSR","blue"
"TNNI1","blue"
"TEPP","black"
"PTPRG","turquoise"
"LOC339535","grey"
"EPSTI1","green"
"HOXD8","grey"
"PDZRN3","turquoise"
"CXCL12","turquoise"
"LILRA5","turquoise"
"KLF9","turquoise"
"FLI1","turquoise"
"STAB1","green"
"OTX1","brown"
"MIAT","green"
"SGCA","turquoise"
"ZNF90","grey"
"GALNT6","brown"
"WDR69","yellow"
"CNKSR2","turquoise"
"TSPAN11","turquoise"
"GFOD1","turquoise"
"APCDD1L","brown"
"C1orf129","yellow"
"ECT2","brown"
"POU3F2","brown"
"PPP1R14A","turquoise"
"CCDC147","yellow"
"JAM3","turquoise"
"SLC11A1","turquoise"
"GRIN2D","brown"
"MAOB","turquoise"
"ARRB1","turquoise"
"NUP210L","blue"
"GPRIN3","green"
"LOC100506123","brown"
"MALL","black"
"LEPREL4","brown"
"FAM83F","brown"
"MIR663","brown"
"VCAM1","pink"
"PRB2","grey"
"SASH1","turquoise"
"HSPB8","turquoise"
"LOC90246","turquoise"
"NCAM2","turquoise"
"FBN1","pink"
"C4orf19","grey"
"GOLT1A","blue"
"SLC1A3","green"
"ABO","grey"
"SLC35F2","brown"
"IQCA1","yellow"
"CCL24","turquoise"
"C7orf57","yellow"
"KIAA1324L","turquoise"
"NPC2","black"
"DCLK1","brown"
"GRIP1","brown"
"SLC50A1","blue"
"ART4","turquoise"
"IFIT3","green"
"NR5A2","turquoise"
"MX1","green"
"SP5","blue"
"LDB3","turquoise"
"PPP1R1C","black"
"AKAP14","yellow"
"CNGA4","yellow"
"RAB15","blue"
"APOBEC3B","brown"
"FGF12","turquoise"
"LHX2","greenyellow"
"LOC100131825","turquoise"
"SRD5A3","blue"
"LRRC48","yellow"
"DUOXA2","grey"
"IDAS","brown"
"WDR86","blue"
"FAM171A2","brown"
"INSC","turquoise"
"PCYT1B","yellow"
"C3orf25","yellow"
"KCND2","pink"
"OAS3","green"
"SGK1","turquoise"
"GRIK4","turquoise"
"TCTE1","yellow"
"SEMA3E","grey"
"FLJ38109","blue"
"LYPD6","brown"
"LILRB2","green"
"LOC731424","turquoise"
"KRTCAP3","blue"
"TRNP1","grey"
"BEX5","turquoise"
"C9orf117","yellow"
"KRT1","grey"
"MIR3189","blue"
"CSAG1","brown"
"GPR64","grey"
"SPTBN1","turquoise"
"CHL1","grey"
"PVT1","blue"
"ATP1B1","blue"
"ADAMTS14","brown"
"SNHG5","grey"
"SAMD9L","green"
"HLA-DOB","purple"
"NDUFC2-KCTD14","black"
"C10orf107","yellow"
"LOC100507351","brown"
"MEIS1","turquoise"
"IL22RA1","magenta"
"ACSL5","black"
"CDH2","pink"
"HOXC9","blue"
"PC","blue"
"SLC4A5","black"
"CLSTN2","turquoise"
"TMSB4Y","grey"
"NFKBIZ","turquoise"
"AHCYL2","red"
"DHRS2","blue"
"SDC1","blue"
"C1orf53","blue"
"PRKCE","turquoise"
"ENPP6","turquoise"
"HLA-H","green"
"MGST1","blue"
"DRD1","turquoise"
"BCAN","blue"
"ADAMTS2","pink"
"PADI2","brown"
"MNDA","red"
"MAT1A","brown"
"PDK1","brown"
"CCDC68","turquoise"
"CYBRD1","turquoise"
"PKP3","blue"
"C1orf130","blue"
"FOXI3","blue"
"TNFSF15","black"
"C2orf71","turquoise"
"INPP4B","pink"
"TRPM8","brown"
"ADD2","turquoise"
"PER3","grey"
"CYBB","green"
"DGAT2","blue"
"NRG1","turquoise"
"CCR1","green"
"CSMD1","turquoise"
"DOK5","brown"
"EFHC2","yellow"
"IGF1","turquoise"
"ADCY5","turquoise"
"TNFAIP3","turquoise"
"SELENBP1","grey"
"B3GALT2","turquoise"
"TNFRSF13B","purple"
"CAPN5","magenta"
"GATA4","brown"
"GJB5","magenta"
"ESCO2","brown"
"DNAJB4","turquoise"
"TROAP","brown"
"CCNA2","brown"
"FNDC5","grey"
"MIR3648","brown"
"PDIA4","brown"
"C9orf152","black"
"HK3","red"
"TBX5","turquoise"
"LOC728643","turquoise"
"KCNK17","turquoise"
"CHODL","grey"
"HSD11B1","turquoise"
"ZPLD1","brown"
"MGAT5B","turquoise"
"BHMT","grey"
"CACNB4","grey"
