"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MIR132",2.33376161780094,-0.893021159622348,0.457709949759934,0.0137121540747362,0.0245726171426945
"MRPS34",4207.41232560483,0.830639732340676,0.110385758037132,1.22929252272185e-14,1.71600758292503e-13
"THOC7",3303.63373313,0.0120419128030766,0.0618316312290216,0.84854103384883,0.881961541857562
"BREA2",51.9731927068172,-0.0267535088403634,0.133684682214577,0.837022120736834,0.873303270269959
"PLAC4",230.779474934187,0.750198920517295,0.273714141348246,0.00246656972278714,0.0051984420823547
"FITM1",42.0416619154509,-0.404752977432315,0.153067629012472,0.00619255809811768,0.0119671155684552
"C7orf61",24.6985361462383,-0.126553574466573,0.176054756912116,0.454950704762036,0.533309620379242
"MYL10",5.52719145324704,0.368224534829884,0.311423143863735,0.174226596861031,0.234429339032382
"RAB3IP",5411.06643146253,0.531836531153567,0.201493571273006,0.005446212320944,0.0106676679688172
"DNAH12",1099.89276599693,-1.68590408692258,0.308114935033838,5.23300524731013e-09,3.06485125031262e-08
"TMEM56-RWDD3",90.74917601997,-0.0628980743097915,0.102906684972973,0.534947719020602,0.610309016295778
"PCBD1",4922.62089921349,0.514655318398794,0.116888141462806,7.53762197145195e-06,2.55902392358536e-05
"ACOT6",19.4747508572847,0.0491673628670838,0.212269289949326,0.805802553529987,0.847770127657387
"NME4",5129.15200550909,1.0590181078305,0.137139689488008,3.01592796780067e-15,4.56584876561357e-14
"EIF4E2",3496.6968539618,0.321963943928902,0.0655147897496664,7.69526408948814e-07,3.12707971161071e-06
"CD109",6209.11414032312,-0.972328855118921,0.226468817601213,4.41195289202709e-06,1.56835859654935e-05
"CT45A1",1.57411820282807,0.445231272812371,0.76064081421627,0.10727102692257,0.153284352696064
"CT45A3",2.21927470238847,3.66262392127912,1.18208180536793,0.272008542443038,0.344624743840105
"CT45A6",3.25851792860211,1.26623046374768,0.696246362014925,0.0028723778935802,0.00597224457565042
"C21orf91",3945.73844791608,-0.528547126213054,0.121366452380306,9.06778718656599e-06,3.03112393983453e-05
"CENPM",296.893728377646,1.14933681740729,0.233781918160816,1.90643264919044e-07,8.64041720829909e-07
"RAB3C",33.3022850771882,0.298371478392565,0.281129153340035,0.234901575328608,0.303752813277094
"PPARA",4464.53506038679,0.0945894517195354,0.0922489990592932,0.299086096813118,0.373806834553525
"PTAR1",8719.6222445081,-0.0902782209929922,0.0794742620582965,0.243072196345127,0.312918929353286
"IZUMO4",144.22020173205,0.454663180788172,0.136601823303496,0.000629556132582883,0.0014981008323078
"LOC100505875",78.2723911045363,-0.851227679253846,0.324722248557147,0.00281093618181602,0.00585411660213377
"HRSP12",1415.24766884876,0.617527435858388,0.137274819297057,3.62147195576838e-06,1.30663482810531e-05
"XRN1",9062.88552411112,-0.314381884057227,0.119772563503062,0.00812119210584767,0.0152983759343381
"MGAT3",5013.69169876413,-2.02562933689832,0.202191511976923,7.52302027042717e-25,3.46076030212992e-23
"LOC100128993",10.1671527411606,-0.677384650814598,0.300472017210966,0.0108790537709538,0.0199080487639342
"LRP6",9293.7881820327,-0.0409864461242191,0.110147592374971,0.74879073814982,0.799972201567112
