"entrez_id","symbol","genename"
NA,"MIR4313",NA
NA,"MIR3647",NA
NA,"MIR132",NA
NA,"MIR3978",NA
NA,"MRPS34",NA
NA,"THOC7",NA
NA,"BREA2",NA
NA,"PLAC4",NA
NA,"LOC649330",NA
NA,"FITM1",NA
NA,"NPBWR2",NA
NA,"C7orf61",NA
NA,"MYL10",NA
NA,"RAB3IP",NA
NA,"DNAH12",NA
NA,"TMEM56-RWDD3",NA
NA,"PCBD1",NA
NA,"ACOT6",NA
NA,"NME4",NA
NA,"EIF4E2",NA
NA,"CD109",NA
NA,"CSN1S1",NA
NA,"CT45A1",NA
NA,"CT45A3",NA
NA,"CT45A6",NA
NA,"C21orf91",NA
NA,"CENPM",NA
NA,"RAB3C",NA
NA,"PPARA",NA
NA,"PTAR1",NA
NA,"IZUMO4",NA
NA,"LOC100505875",NA
NA,"HRSP12",NA
NA,"XRN1",NA
NA,"MGAT3",NA
NA,"LOC100128993",NA
NA,"LRP6",NA
NA,"ADCY6",NA
NA,"NFIA",NA
NA,"OR2AK2",NA
NA,"OR52B6",NA
NA,"OR9K2",NA
NA,"DNAJC17",NA
NA,"INE1",NA
NA,"ALG10B",NA
NA,"TACC2",NA
NA,"LOC338588",NA
NA,"CAPNS2",NA
NA,"EIF1B",NA
NA,"NRADDP",NA
NA,"DLGAP2",NA
NA,"LOC441601",NA
NA,"NME3",NA
NA,"PPP1R1C",NA
NA,"RTP4",NA
NA,"LOC100170939",NA
NA,"TMEM14A",NA
NA,"ZNF292",NA
NA,"MIR137",NA
NA,"MIR1237",NA
NA,"MIR3913-1",NA
NA,"MIR4305",NA
NA,"MIR496",NA
NA,"MIR3940",NA
NA,"MIR133A2",NA
NA,"MIR1236",NA
NA,"C1orf50",NA
NA,"ARHGAP11B",NA
NA,"MRPL12",NA
NA,"SYNGR4",NA
NA,"KRTAP10-1",NA
NA,"TEX15",NA
NA,"OR51I1",NA
NA,"TSPAN19",NA
NA,"VMO1",NA
NA,"SPP2",NA
NA,"U2AF1",NA
NA,"C4orf52",NA
NA,"CXorf68",NA
NA,"MTCP1NB",NA
NA,"PTPRO",NA
NA,"KIAA1456",NA
NA,"HOXB1",NA
NA,"ZNF805",NA
NA,"SLC7A14",NA
NA,"VHLL",NA
NA,"PSMA6",NA
NA,"VSTM1",NA
NA,"FGF20",NA
NA,"LOC392364",NA
NA,"BEX5",NA
NA,"APC2",NA
NA,"APOL6",NA
NA,"LRBA",NA
NA,"ATP6V0B",NA
NA,"NPW",NA
NA,"LOC150935",NA
NA,"WFDC5",NA
NA,"EAF2",NA
NA,"ZDBF2",NA
NA,"ST8SIA3",NA
NA,"C1orf158",NA
NA,"ELOF1",NA
NA,"RPL34",NA
NA,"HGC6.3",NA
NA,"FMR1NB",NA
NA,"BAHCC1",NA
NA,"NKX6-2",NA
NA,"TAS2R39",NA
NA,"CREBBP",NA
NA,"TMED4",NA
NA,"C7orf62",NA
NA,"TRIO",NA
NA,"LOC100188947",NA
NA,"SPAG7",NA
NA,"C17orf73",NA
NA,"EXPH5",NA
NA,"DCC",NA
NA,"ATXN7L1",NA
NA,"DCP2",NA
NA,"PDE6G",NA
NA,"LOC100507567",NA
NA,"OR7E24",NA
NA,"SLMO2-ATP5E",NA
NA,"TAAR1",NA
NA,"C6orf221",NA
NA,"MRPL50",NA
NA,"C18orf1",NA
NA,"MIR3941",NA
NA,"SNORD9",NA
NA,"SNORD12B",NA
NA,"MUTED",NA
NA,"MDS2",NA
NA,"KRTAP5-11",NA
NA,"TAS2R31",NA
NA,"SPATA8",NA
NA,"DSP",NA
NA,"ESRRG",NA
NA,"OR7D4",NA
NA,"ARPC5L",NA
NA,"BCAT1",NA
NA,"CCPG1",NA
NA,"FAM70B",NA
NA,"IGSF6",NA
NA,"DSCR8",NA
NA,"MAGI3",NA
NA,"RPL5",NA
NA,"PPIB",NA
NA,"C5orf49",NA
NA,"TARP",NA
NA,"IFNA21",NA
NA,"PTPRD",NA
NA,"FCN3",NA
NA,"C11orf65",NA
NA,"CCS",NA
NA,"RNASEK",NA
NA,"MED10",NA
NA,"RPS2P32",NA
NA,"ZNF445",NA
NA,"TNS1",NA
NA,"TSTD1",NA
NA,"C16orf79",NA
NA,"NME1",NA
NA,"IFI30",NA
NA,"YJEFN3",NA
NA,"CHMP2A",NA
NA,"HUS1B",NA
NA,"AKAP17A",NA
NA,"SGCD",NA
NA,"FLJ45340",NA
NA,"CALCB",NA
NA,"TAS2R43",NA
NA,"ZMAT5",NA
NA,"TFDP2",NA
NA,"MAP1A",NA
NA,"B9D2",NA
NA,"C21orf37",NA
NA,"NCRNA00257",NA
NA,"CENPF",NA
NA,"FAM132A",NA
NA,"DBX1",NA
NA,"OR51F2",NA
NA,"TNFRSF12A",NA
NA,"C17orf50",NA
NA,"OR10H2",NA
NA,"LOC285501",NA
NA,"TAAR8",NA
NA,"SURF1",NA
NA,"C9orf11",NA
NA,"RAB40AL",NA
NA,"MRC1",NA
NA,"SRGAP2P2",NA
NA,"OR52K1",NA
NA,"TNFSF12",NA
NA,"PGLS",NA
NA,"COL4A4",NA
NA,"SNORD114-4",NA
NA,"SNORD116-10",NA
NA,"MIR3935",NA
NA,"SNORD124",NA
NA,"LOC255025",NA
NA,"LOC100133461",NA
NA,"GPR26",NA
NA,"C1orf21",NA
NA,"LOC646851",NA
NA,"MED12L",NA
NA,"RBM33",NA
NA,"RIF1",NA
NA,"SNAPIN",NA
NA,"OR6K6",NA
NA,"CFHR2",NA
NA,"TMEM176A",NA
NA,"C4orf11",NA
NA,"FAM162B",NA
NA,"OR12D2",NA
NA,"C8orf74",NA
NA,"H2AFB1",NA
NA,"MRPL55",NA
NA,"OR52N5",NA
NA,"DPPA3",NA
NA,"TSPAN16",NA
NA,"LOC100287482",NA
